Date,Stock
2014-03-07,29325.13086
2014-03-10,28905.62891
2014-03-11,29031.49023
2014-03-12,28402.19336
2014-03-13,27688.95898
2014-03-14,27437.23828
2014-03-17,27437.23828
2014-03-18,27437.23828
2014-03-19,27017.74023
2014-03-20,25759.14648
2014-03-21,25381.56641
2014-03-24,25675.20703
2014-03-25,26430.36523
2014-03-26,27269.45703
2014-03-27,26346.52148
2014-03-28,26598.24023
2014-03-31,26933.80078
2014-04-01,27059.66016
2014-04-02,26556.22266
2014-04-03,26346.52148
2014-04-04,25801.06836
2014-04-07,26430.36523
2014-04-08,26430.36523
2014-04-09,26975.81836
2014-04-10,26933.80078
2014-04-11,27143.59961
2014-04-14,26514.30273
2014-04-15,26304.50586
2014-04-16,26262.58398
2014-04-17,26052.78906
2014-04-18,26556.22266
2014-04-21,26430.36523
2014-04-22,26220.66211
2014-04-23,26010.86523
2014-04-24,25675.20703
2014-04-25,25507.42773
2014-04-28,25339.64648
