Date,High,Low,Open,Volume,Close
2011-01-24,49922.30078,47685.60156,47775.10156,848546,44765.10938
2011-01-25,51174.80078,49117.10156,50459.10156,1132569,44443.02734
2011-01-26,50727.5,49475,49922.30078,550253,44926.10547
2011-01-27,51711.60156,50369.60156,50638,753406,46053.25781
2011-01-28,51980,50727.5,51532.69922,657327,46133.79688
2011-01-31,52159,50190.69922,50369.60156,693536,45972.80078
2011-02-01,51443.19922,48133,51174.80078,1358206,43315.87891
2011-02-07,49653.89844,48133,49206.60156,662309,43798.95313
2011-02-08,49027.60156,47864.60156,48669.80078,564537,43718.41406
2011-02-09,49832.80078,48401.39844,48669.80078,703034,43959.94531
2011-02-10,48759.19922,46612,48759.19922,805371,41947.10156
2011-02-11,47238.30078,44912.19922,46612,829323,40497.86719
2011-02-14,46701.5,45359.5,45717.39844,530456,42027.64063
2011-02-15,46969.89844,45896.30078,46701.5,450337,41866.65234
2011-02-16,47417.19922,45001.60156,46075.19922,529354,40497.86719
2011-02-17,45806.80078,42586,45538.39844,1086270,38726.64063
2011-02-18,44062.19922,43391.19922,43391.19922,579912,39652.48047
2011-02-21,44196.39844,42854.39844,43928,523977,38565.55078
2011-02-22,42451.80078,40394.10156,42407.10156,1034925,36432.02734
2011-02-23,41065.10156,38649.5,40796.69922,1535432,35345.10547
2011-02-24,40573.10156,39454.69922,39678.39844,1208874,35787.94922
2011-02-25,41467.69922,39767.89844,40170.5,603548,37317.64453
2011-02-28,41512.39844,39588.89844,41244.10156,743559,35828.17969
2011-03-02,40752,39231.10156,39275.80078,563717,35667.17969
2011-03-03,40975.60156,39946.80078,40081,715243,36874.78516
2011-03-04,42675.5,41109.89844,41423,1020730,38404.5625
2011-03-07,42317.60156,41601.89844,42228.19922,481899,37438.39844
2011-03-08,42451.80078,41199.30078,41601.89844,426999,37720.17188
2011-03-09,42675.5,41736.10156,42228.19922,385685,37881.25781
2011-03-10,42496.60156,41780.80078,42183.39844,436709,38243.5625
2011-03-11,41870.30078,40707.19922,41646.60156,526530,36713.78906
2011-03-14,40662.5,39275.80078,40170.5,667689,36230.71094
2011-03-15,41199.30078,37218.10156,39946.80078,1020406,34539.94531
2011-03-16,39499.5,38023.30078,38873.19922,536945,35184.10547
2011-03-17,40036.19922,37933.80078,38157.5,519519,35667.17969
2011-03-18,42049.19922,40081,40438.89844,1076883,37639.71875
2011-03-21,42272.89844,41557.19922,41959.80078,556411,38042.25
2011-03-22,43301.80078,41870.30078,42272.89844,736989,38847.41406
2011-03-23,43614.89844,42004.5,43122.80078,704067,37921.48438
2011-03-24,43391.19922,42228.19922,42496.60156,467658,38968.17578
2011-03-25,44509.60156,43436,44151.69922,607750,39370.71484
2011-03-28,44017.5,42675.5,43704.39844,387422,38887.64063
2011-03-29,43793.80078,42765,42765,429750,39370.71484
2011-03-30,45538.39844,43749.10156,43749.10156,1059210,40095.33203
2011-03-31,45538.39844,43928,44822.69922,559040,40739.40234
2011-04-01,45449,44599,45180.60156,370168,40819.94922
2011-04-04,45449,43659.60156,45359.5,705869,39612.25
2011-04-05,45091.10156,43570.19922,43838.60156,701018,40578.41016
2011-04-06,46254.19922,45180.60156,45270,892156,41625.10938
2011-04-07,46522.60156,44912.19922,46522.60156,610578,41061.48438
2011-04-08,46164.69922,44554.30078,45270,1035035,40256.32813
2011-04-11,45359.5,44420.10156,44822.69922,507219,40014.78906
2011-04-12,44420.10156,42854.39844,44375.39844,723089,38807.09375
2011-04-13,43793.80078,43033.39844,43346.5,433230,39410.94531
2011-04-14,43838.60156,39723.10156,43793.80078,2574030,36633.24219
2011-04-15,42317.60156,41467.69922,41870.30078,1753817,37760.49219
2011-04-18,43480.69922,42094,42317.60156,976218,38807.09375
2011-04-19,43078.10156,42138.69922,42675.5,526852,38525.32422
2011-04-20,44912.19922,43122.80078,43122.80078,1058164,39088.94922
2011-04-21,44151.69922,42765,43838.60156,955732,39531.71484
2011-04-22,48848.69922,44107,44107,3213447,43959.94531
2011-04-25,49475,47506.69922,49296,1615057,43637.86719
2011-04-26,49832.80078,47059.39844,48759.19922,1275010,42349.71484
2011-04-27,48490.80078,45359.5,48133,1095063,41303.02734
2011-04-28,46880.39844,44912.19922,46343.60156,897316,40819.94922
2011-04-29,45985.80078,43391.19922,45538.39844,1109240,39612.25
2011-05-02,45091.10156,43928,44151.69922,447814,40497.86719
2011-05-03,44912.19922,43212.30078,44912.19922,684968,38927.86719
2011-05-04,44107,43212.30078,43257,350235,39370.71484
2011-05-06,43301.80078,42451.80078,42496.60156,371905,38485.10547
2011-05-09,43257,42362.39844,42765,358330,38726.64063
2011-05-11,44196.39844,43122.80078,43480.69922,636002,39330.48828
2011-05-12,43122.80078,42541.30078,42943.89844,484890,38364.33594
2011-05-13,43212.30078,41512.39844,43212.30078,562451,37800.71094
2011-05-16,41870.30078,40975.60156,41423,391562,36955.32813
2011-05-17,41601.89844,40886.19922,41065.10156,220631,37035.87109
2011-05-18,42496.60156,40975.60156,41154.60156,403641,38243.5625
2011-05-19,42586,40930.89844,42541.30078,468170,37277.41016
2011-05-20,41423,39902.10156,41065.10156,456827,37035.87109
2011-05-23,40617.80078,39946.80078,40304.69922,304420,36109.94531
2011-05-24,40036.19922,38962.69922,39902.10156,563257,35184.10547
2011-05-25,39544.19922,37889.10156,39186.30078,509260,34217.95703
2011-05-26,40349.39844,37933.80078,38515.30078,552606,35626.86328
2011-05-27,41915,39902.10156,41020.39844,1016150,36150.25781
2011-05-30,41154.60156,40304.69922,40707.19922,331649,36271.03125
2011-05-31,42183.39844,40438.89844,40438.89844,843041,37840.94141
2011-06-01,42228.19922,41378.19922,41959.80078,300633,37398.17578
2011-06-02,40886.19922,40125.69922,40259.89844,319469,36633.24219
2011-06-03,41691.39844,40707.19922,40975.60156,366846,36834.55859
2011-06-07,40930.89844,39857.30078,40528.30078,224045,36190.48438
2011-06-08,40617.80078,39633.69922,40528.30078,202202,35948.94141
2011-06-09,40349.39844,39723.10156,39946.80078,243686,36109.94531
2011-06-10,40573.10156,38917.89844,40394.10156,292416,35304.87891
2011-06-13,39991.5,38694.30078,38739,203281,35385.32813
2011-06-14,40707.19922,39454.69922,39499.5,314114,36230.71094
2011-06-15,42496.60156,40259.89844,40528.30078,780518,37760.49219
2011-06-16,42183.39844,41199.30078,41244.10156,354520,37478.63672
2011-06-17,43033.39844,41601.89844,42049.19922,804901,37961.70703
2011-06-20,42362.39844,40796.69922,42004.5,485599,37357.86328
2011-06-21,42228.19922,40215.19922,42004.5,433781,37317.64453
2011-06-22,42094,41512.39844,42049.19922,383131,37559.17969
2011-06-23,42049.19922,41244.10156,41736.10156,276498,37599.40234
2011-06-24,42496.60156,40930.89844,41467.69922,639838,38243.5625
2011-06-27,42049.19922,41423,41959.80078,249498,37398.17578
2011-06-28,42317.60156,41333.5,41915,292470,37196.86719
2011-06-29,43480.69922,41646.60156,42138.69922,955147,39048.63281
2011-06-30,44062.19922,43122.80078,43749.10156,672543,39249.94922
2011-07-01,44241.19922,43480.69922,44151.69922,558806,39612.25
2011-07-04,44688.5,44062.19922,44330.60156,494331,39813.56641
2011-07-05,45449,44151.69922,44151.69922,580980,40417.41016
2011-07-06,45538.39844,44107,44912.19922,518658,40658.95703
2011-07-07,46254.19922,45180.60156,45270,643562,40739.40234
2011-07-08,45717.39844,44554.30078,45717.39844,477555,40578.41016
2011-07-11,45091.10156,44375.39844,44688.5,334700,40578.41016
2011-07-12,44822.69922,43704.39844,44509.60156,462985,39773.25
